stone, 石,名詞
stop, ストップ / 休止,動詞
story, 物語 / お話,名詞
stretch, 伸張 / 伸ばす,動詞
substance, 物質 / 実体 / 中身,名詞
sugar, さとう,名詞
suggestion, 提案 ,名詞
summer, 夏,名詞
support, 支える / 支持する,動詞
surprise, 驚き,名詞
swim, 泳ぎ / 水泳,名詞
system, システム / 系統 / 体系,名詞
talk, 話す / 演説する,動詞
taste, 味覚 / 風味,名詞
tax, 課税,名詞
teaching, 教え / 教育 / 指導,名詞
tendency, 傾向,名詞
test, テスト,名詞
theory, 理論 / 学説,名詞
thing, モノ / 物体,名詞
thought, 思索 / 考えること,名詞
thunder, 雷 / 雷鳴 / 咆哮,動詞
time, 時/ 年月,名詞
tin, スズ / ブリキ,名詞
top, てっぺん,名詞
touch, タッチ / 接触,名詞
trade, 交換,名詞
transport, 運輸 / 運送 / 運び,名詞
trick, いたずら / たくらみ,名詞
trouble, 故障 / 問題点,名詞
turn, 回転させる / まわす / ひねる,動詞
twist, ひねる / ねじる / 寄り合わせる,動詞
unit, 単一体 / 集合体 / 単位 / 部隊,名詞
use, 使う,動詞
value, 価値 / 評価 ,名詞
verse, 詩節 / 詩句,名詞
vessel, 容器 / 船舶,名詞
view, 視野 / 光景 / 視点,名詞
voice, 声,名詞
walk, 歩く,動詞
war, 戦争,名詞
wash, 洗う,動詞
water, 水,名詞
wave, 波,名詞
wax, ロウ / ロウ状のもの,名詞
way, 道 / 方式,名詞
weather, 天気,名詞
week, 週,名詞
weight, 重さ,名詞
wind, 風,名詞
wine, ワイン,名詞
winter, 冬,名詞
woman, 女性,名詞
wood, 樹木 / 木材,名詞
wool, 羊毛,名詞
word, 言葉 / 単語,名詞
work, 労働 / 訓練,名詞
wound, 負傷 / 痛手,名詞
writing, 作文 / 書きもの,名詞
year, 年,名詞
angle, 角度,名詞
ant, アリ,名詞
apple, リンゴ,名詞
arch, カーブ / 弯曲 / アーチ,動詞
arm, 武装 / 備える / 装備,動詞
army, 軍団 / 部隊,名詞
baby, ベビー / 赤ん坊,名詞
bag, ふくろ / かばん,名詞
ball, 球 / ボール,名詞
band, しばるもの / ひも,動詞
basin, 洗面器 / 水たまり,名詞
basket, かご,名詞
bath, 入浴 / 風呂,名詞
bed, ベッド / 寝床,名詞
bee, 蜂 / 蜜蜂,名詞
bell, ベル / 鐘,名詞
berry, ベリー / いちご,名詞
bird, 鳥,名詞
blade, 刃物 / ひげそり,名詞
board, 板,名詞
boat, 小船 / ボート,名詞
bone, 骨,名詞
book, 本,名詞
boot, ブーツ / 長靴,名詞
bottle, ビン,名詞
box, 箱,名詞
boy, 男の子 / ボーイ,名詞
brain, 頭脳,名詞
brake, 歯止め / ブレーキ,名詞
branch, 枝 / 枝分れ,名詞
brick, ブロック / レンガ,名詞
bridge, 橋 / 橋渡し,名詞
brush, ブラシ / 刷毛 / 小競り合い,名詞
bucket, バケツ / 手桶,名詞
bulb, 球状のもの / 電球,名詞
button, ボタン / スイッチ,名詞
cake, ケーキ / 焼き固めた食べ物,名詞
camera, カメラ / 写真機,名詞
card, カード,名詞
cart, カート/ 荷車,名詞
carriage, 乗り物 / 車両,名詞
cat, ネコ,名詞
chain, くさり,名詞
cheese, チーズ,名詞
chest, むね / 箱,名詞
chin, アゴ,名詞
church, 教会 / 礼拝,名詞
circle, 一回り / 円形,名詞
cloud, 雲,名詞
coat, コート / 外套,名詞
collar, エリ / 襟飾り,名詞
comb, クシ,名詞
cord, ひも / つなぎ紐,名詞
cow, 牛,名詞
cup, コップ,名詞
curtain, カーテン / 幕,名詞
cushion, クッション / 緩衝材,名詞
dog, 犬,名詞
door, 扉 / 門戸,名詞
drain, 排水路 / 流出,名詞
drawer,  引き出し,名詞
dress, 衣服,名詞
drop, しずく / 落下,名詞
ear, 耳,名詞
egg, 卵,名詞
engine, エンジン / 発動機 / ,名詞
eye, 目 / ,名詞
face, 顔 / 正面 ,名詞
farm, 農場,名詞
feather, 羽 / 羽毛,名詞
finger, 指,名詞
fish, 魚,名詞
flag, 旗,名詞
floor, 床 / 階,名詞
fly, 飛ぶ,動詞
foot, 足,名詞
fork, フォーク / 熊手 / 分岐,名詞
fowl, 家禽 / 鶏肉,名詞
frame, 骨組み / 枠組み,名詞
girl, 令嬢 / 娘,名詞
glove, 手袋 / グローブト,名詞
goat, 山羊,名詞
gun, 銃,名詞
hair, 毛 / 髪の毛,名詞
hammer, ハンマー / 鎚,名詞
hand, 手 / 人手,名詞
head, アタマ,名詞
heart, こころ / ハート / 心臓,名詞
hook, 鉤 / フック,名詞
horn, 角,名詞
horse, 馬,名詞
hospital, 病院 / ホスピタル,名詞
house, 家 / 家庭,名詞
island, 島,名詞
jewel, 宝石,名詞
kettle, 湯わかし / 釜 / やかん,名詞
key, 鍵 / カギ,名詞
knee, ひざ,名詞
knife, ナイフ,名詞
leaf, 葉っぱ,名詞
leg, 脚 / 区間,名詞
library, ライブラリ / 図書館,名詞
line, 線,名詞
lip, くちびる,名詞
lock, かぎ,名詞
map, 地図,名詞
match, 試合 / 調和の取れたもの,名詞
monkey, さる,名詞
moon, 月,名詞
mouth, 口,名詞
muscle, 筋肉,名詞
nail, つめ,名詞
neck, 首,名詞
needle, はり,名詞
nerve, 神経,名詞
net, ネット / 網,名詞
nose, 鼻,名詞
nuts, 木の実,名詞
office, オフィス / 事務所,名詞
orange, オレンジがかった / オレンジ色の,形容詞
oven, 天火 / オーブン,名詞
parcel, 小包,名詞
pen, ペン/ 筆記用具,名詞
pencil, 鉛筆,名詞
picture, 絵 / 写真,名詞
pig, ぶた,名詞
pin, ピン / 鋲,名詞
pipe, パイプ / 筒 / 管,名詞
plane, 平ら / 平面,名詞
plate, 平皿 / 平板,名詞
cultivate, 耕す / 鋤く,動詞
pocket, 懐中 / ポケット,名詞
pot, つぼ / 鉢,名詞
potato, ジャガイモ,名詞
prison, 牢屋 / 監獄,名詞
rail, 横木 / 柵 / レール/ 鉄道,名詞
rat, ネズミ,名詞
receipt, 受取り / 受領書 / 領収書,名詞
rod, 棒,名詞
roof, 屋根 / 天井,名詞
root, 根っこ,名詞
sail, 帆,名詞
school, 学校,名詞
scissors, はさみ,名詞
screw, ねじる / ひねる,動詞
seed, たね,名詞
sheep, ヒツジ,名詞
shelf, 棚,名詞
ship, 船,名詞
shirt, シャツ,名詞
shoe, くつ,名詞
skin, ひふ,名詞
skirt, スカート,名詞
snake, ヘビ,名詞
spade, スペード / スコップ / ショベル,名詞
sponge, スポンジ,名詞
spoon, スプーン / さじ,名詞
spring, 春 / 泉,名詞
square, 四角,名詞
stamp, スタンプ / 印,名詞
star, 星,名詞
station, 駅,名詞
stem, 茎 / 柄,名詞
stick, ステッキ / 杖,名詞
stocking, ストッキング / 長靴下,名詞
stomach, 胃,名詞
store, 商店,名詞
street, ストリート / 街路,名詞
sun, 太陽,名詞
table, テーブル / 一覧表,名詞
tail, 尻尾,名詞
thread, 糸,名詞
throat, のど,名詞
thumb, おやゆび,名詞
ticket, チケット / 券,名詞
tongue, 舌,名詞
tooth, 歯,名詞
town, 町,名詞
train, 列車,名詞
tray, お盆 / トレー,名詞
tree, 木 / 樹木,名詞
trousers, ズボン,名詞
umbrella, かさ,名詞
wall, カベ,名詞
watch, 時計 / 見張り,名詞
wheel, 車輪,名詞
whip, むち打ち,名詞
whistle, 口笛 / ホイッスル,名詞
window, ウィンドウ / 窓,名詞
wing, つばさ,名詞
wire, 針金 / 電線,名詞
worm, 虫 / いも虫,名詞
able, 可能な,形容詞
angry, 怒った,形容詞
automatic, 自動的な / 自動的な,形容詞
beautiful, 美しい / きれいな,形容詞
black, 黒い,形容詞
boiling, 煮えた / ゆでた,形容詞
bright, 明々と,副詞
broken, 壊れた,形容詞
brown, 茶色い,形容詞
cheap, 安上がりな / 安っぽい,形容詞
chemical, 化学的な,形容詞
chief, 主要な / 重要な,形容詞
clean, きれいな / 清潔な,形容詞
clear, 明るい / 澄んだ,形容詞
common, 共通の / 公共の,形容詞
complex, 複雑な / ややこしい,形容詞
conscious, 気づいて / 意識して,形容詞
cut, カットされた / 切り詰めた,形容詞
deep, 深い,形容詞
dependent, 依存した / 頼った,形容詞
elastic, 弾力のある,形容詞
electric, 電気の / 電動の,形容詞
equal, 等しい / 均等な,形容詞
fat, 太った,形容詞
fertile, 肥えた / 繁殖力のある,形容詞
first, 最初に / まず,副詞
fixed, 固定した / 一定の,形容詞
flat, フラット / 平らな,形容詞
free, 自由な / 無料の,形容詞
frequent, よくある / ひんぱんにある,形容詞
full, いっぱいの,形容詞
general, 世間一般の / 一般的な,形容詞
good, 良い,形容詞
great, 偉大な / すごい,形容詞
gray, 灰色の,形容詞
hanging, つりさげ,名詞
happy, しあわせな,形容詞
hard, 必死に,副詞
healthy, 健康な,形容詞
high, 高い,形容詞
hollow, 空っぽな / へこんだ,形容詞
important, 重要な / 大切な,形容詞
kind, 親切な,形容詞
living, 生きている / 活気のある,形容詞
long, 長い,形容詞
male, 男性 / オス,名詞
married, 結婚している,形容詞
medical, 医療,名詞
military, 軍事的な,形容詞
natural, 自然な / 天然の,形容詞
necessary, 必然的,形容詞
new, 新しい,形容詞
normal, 正常な / 標準の / 一般的な,形容詞
open, 開いた / あいた,形容詞
parallel, 平行な / 並んだ,形容詞
past, 通り越して / 通り過ぎて,副詞
physical, 物理的 / 物質的 / 物的,形容詞
political, 政治的な,形容詞
poor, 貧乏な / 貧弱な,形容詞
possible, ありうる / 潜在的,形容詞
present, 現在の,形容詞
private, 秘密の,形容詞
probable, ありそうな,形容詞
quick, 素早い / 早い,形容詞
quiet, 静かな,形容詞
ready, 準備のできた,形容詞
red, 赤い,形容詞
regular, 普通の / いつもの,形容詞
responsible, 責任がある,形容詞
right, 正確な,形容詞
round, まるい,形容詞
same, 同じ,形容詞
second, 第2に / 次に,副詞
separate, 分かれた,形容詞
serious, まじめな / 重大な,形容詞
sharp, するどい / 俊敏な,形容詞
smooth, なめらかな / 穏やか,形容詞
sticky, 粘っこい,形容詞
stiff, こわばった,形容詞
straight, まっすぐな,形容詞
strong, 力強い / 確か,形容詞
